Family,Genus,Species,Common,Common,Body Mass (kg),FMR KJ/day),Method,Source1,Source2,,
 Chiroptera,Eptesicus,fuscus,Big,brown,0.021,10.5,measurement,55,65,,
 Chiroptera,Glossophaga,commissarisi,Commissaris's,long-tongued,0.018,12,measurement,92,46,,
 Chiroptera,Macrotus,californicus,California,leaf-nosed,0.013,5.3,measurement,4,46,,
 Chiroptera,Myotis,lucifugus,Little,brown,0.009,7.2,measurement,54,65,,
 Chiroptera,Phyllostomus,hastatus,Greater,spear-nosed,0.076,32.1,measurement,53,46,,
 Chiroptera,Pipistrellus,pipistrellus,Pipistrelle,,0.007,7,measurement,75,65,,
 Chiroptera,Plecotus,auritus,Brown,long-eared,0.009,6.6,measurement,89,65,,
 Chiroptera,Syconycteris,australis,Common,blossom bat,0.017,18.4,measurement,33,46,,
 Lagomorpha,Lepus,americanus,Snowshoe,hare,1.4,236.7,measurement,86,46,,
 Lagomorpha,Lepus,californicus,Black-tailed,jackrabbit,1.8,312,measurement,87,65,,
 Pilosa,Bradypus,variegatus,Brown-throated,sloth,4.2,151.8,measurement,68,46,,
 Primates,Alouatta,palliata,Mantled,howler monkey,6.3,550.2,measurement,67,,,
 Primates,Aloutta,palliata,Mantled,howler monkey,8.4,683.2,measurement,67,65,,
 Primates,Eulemur,fulvus,Common,brown lemur,1.8,142.8,measurement,88,46,,
 Primates,Lemur,catta,Ring-tailed,lemur,2.3,148.8,measurement,88,,,
 Primates,Lepilemur,ruficaudatus,Red-tailed,sportive lemur,0.72,113.4,measurement,30,46,,
 Primates,Microcebus,murinus,Gray,mouse lemur,0.061,22.7,measurement,84,46,,
 Primates,Pongo,pygmaeus,Bornean,orangutan,62.6,1631.5,measurement,73,46,,
 Rodentia,Acomys,cahirinus,Common,spiny mouse,0.038,12.4,measurement,26,65,,
 Rodentia,Acomys,russatus,Golden,spiny mouse,0.045,11.5,measurement,26,65,,
 Rodentia,Ammospermophilus,leucurus,Antelope,ground squirrel,0.087,21.1,measurement,47,65,,
 Rodentia,Aplodontia,rufa,Mountain,beaver,0.73,357.1,measurement,22,,,
 Rodentia,Arvicola,amphibius,European,water vole,0.083,33.4,measurement,39,46,,
 Rodentia,Arvicola,terrestris,Water,vole,0.086,28.6,measurement,39,65,,
 Rodentia,Cavia,magna,Greater,guinea pig,0.5,102.1,measurement,52,46,,
 Rodentia,Clethrionomys,glareolus,Bank,vole,0.023,21.1,measurement,23,,,
 Rodentia,Clethrionomys,rutilus,Northern,red-backed vole,0.016,13.8,measurement,45,65,,
 Rodentia,Dipodomys,merriami,Merriam's,kangaroo rat,0.034,11.4,measurement,59,65,,
 Rodentia,Dipodomys,microps,Chisel-tooth,kangaroo rat,0.057,20.3,measurement,59,65,,
 Rodentia,Gerbillus,allenbyi,Allenby's,gerbil,0.023,8.5,measurement,28,65,,
 Rodentia,Gerbillus,henleyi,Northern,pygmy gerbil,0.009,6.4,measurement,27,65,,
 Rodentia,Gerbillus,pyramidum,Greater,Egyptian gerbil,0.032,10.8,measurement,28,65,,
 Rodentia,Lemmus,sibiricus,Siberian,brown lemming,0.055,48.2,measurement,71,46,,
 Rodentia,Marmota,flaviventris,Yellow-bellied,marmot,3.2,583.2,measurement,82,65,,
 Rodentia,Meriones,crassus,Jird,,0.069,15.6,measurement,27,65,,
 Rodentia,Microtus,agrestis,Field,vole,0.027,18.7,measurement,23,65,,
 Rodentia,Microtus,arvalis,Meadow,mouse,0.02,21.6,measurement,23,65,,
 Rodentia,Microtus,pennsylvanicus,Meadow,vole,0.036,24.1,measurement,5,46,,
 Rodentia,Mus,domesticus,Wild,house mouse,0.015,11.3,measurement,62,65,,
 Rodentia,Perognathus,formosus,Long-tailed,pocket mouse,0.018,10.8,measurement,61,65,,
 Rodentia,Peromyscus,crinitus,Cactus,mouse,0.013,9.4,measurement,60,65,,
 Rodentia,Peromyscus,leucopus,White-footed,mouse,0.019,8.5,measurement,76,46,,
