tag,weight,IBI
tt14_126a,256,19.7
tt14_126a,256,13.9
tt14_126a,256,40.1
tt14_126a,256,19.5
tt14_126a,256,25.9
tt14_126a,256,25.3
tt14_126a,256,15.6
tt14_126a,256,64.3
tt14_126a,256,11.5
tt14_126a,256,67.5
tt14_126a,256,16.4
tt14_126a,256,11.8
tt14_126a,256,13.7
tt14_126a,256,48.1
tt14_126a,256,17.3
tt14_126a,256,19.3
tt14_126a,256,13.6
tt14_126a,256,9.6
tt14_126a,256,14.4
tt14_126a,256,12.1
tt14_126a,256,10.2
tt14_126a,256,27.1
tt14_126a,256,30.8
tt14_126a,256,13.5
tt14_126a,256,8.7
tt14_126a,256,44.3
tt14_126a,256,24.9
tt14_126a,256,24.4
tt14_126a,256,42.6
tt14_126a,256,20.3
tt14_126a,256,15.1
tt14_126a,256,12.7
tt14_126a,256,57.9
tt14_126a,256,32.7
tt14_126a,256,11.2
tt14_126a,256,27
tt14_126a,256,34.6
tt14_126a,256,4.5
tt14_126a,256,13.6
tt14_126a,256,9
tt14_126a,256,12.1
tt14_126a,256,12.6
tt14_126a,256,21.3
tt14_126a,256,10.4
tt14_126a,256,8.8
tt14_126a,256,54.6
tt14_126a,256,11.8
tt14_126a,256,8.2
tt14_126a,256,78.2
tt14_126a,256,27.2
tt14_126a,256,5.4
tt14_126a,256,7.4
tt14_126a,256,7.6
tt14_126a,256,7.3
tt14_126a,256,9.3
tt14_126a,256,28.1
tt14_126a,256,12.3
tt14_126a,256,16.3
tt14_126a,256,17.4
tt14_126a,256,21.2
tt14_126a,256,20.2
tt14_126a,256,15.5
tt14_126a,256,16.2
tt14_126a,256,18.8
tt14_126a,256,22.4
tt14_126a,256,87.3
tt14_126a,256,19.8
tt14_126a,256,10.1
tt14_126a,256,26.7
tt14_126a,256,30.2
tt14_126a,256,8.2
tt14_126a,256,9.3
tt14_126a,256,9.9
tt14_126a,256,11.8
tt14_126a,256,20.7
tt14_126a,256,24
tt14_126a,256,3.8
tt14_126a,256,7.6
tt14_126a,256,11.6
tt14_126a,256,9
tt14_126a,256,8
tt14_126a,256,28.4
tt14_126a,256,8.1
tt14_126a,256,20.6
tt14_126a,256,19.8
tt14_126a,256,18.7
tt14_126a,256,22.7
tt14_126a,256,27.9
tt14_126a,256,19.9
tt14_126a,256,19.4
tt14_126a,256,25
tt14_126a,256,58.1
tt14_126a,256,9.8
tt14_126a,256,30.9
tt14_126a,256,15.9
tt14_126a,256,23.5
tt14_126a,256,18.8
tt14_126a,256,15.4
tt14_126a,256,87.7
tt14_126a,256,18
tt14_126a,256,15.5
tt14_126a,256,32.4
tt14_126a,256,23.7
tt14_126a,256,17.3
tt14_126a,256,25.1
tt14_126a,256,22.6
tt14_126a,256,17.6
tt14_126a,256,11.2
tt14_126b,291,64.1
tt14_126b,291,51.5
tt14_126b,291,40.1
tt14_126b,291,58.7
tt14_126b,291,53.8
tt14_126b,291,56.9
tt14_126b,291,25.4
tt14_126b,291,23.9
tt14_126b,291,10.6
tt14_126b,291,16.2
tt14_126b,291,25.5
tt14_126b,291,69.2
tt14_126b,291,3.6
tt14_126b,291,4
tt14_126b,291,32.5
tt14_126b,291,23.5
tt14_126b,291,17.2
tt14_126b,291,33.4
tt14_126b,291,21.4
tt14_126b,291,20.7
tt14_126b,291,29.4
tt14_126b,291,18.1
tt14_126b,291,72.9
tt14_126b,291,36.1
tt14_126b,291,46
tt14_126b,291,11.4
tt14_126b,291,1
tt14_126b,291,104
tt14_126b,291,15.3
tt14_126b,291,26.1
tt14_126b,291,37.3
tt14_126b,291,27.7
tt14_126b,291,21.1
tt14_126b,291,46.1
tt14_126b,291,18.4
tt14_126b,291,53
tt14_126b,291,10.3
tt14_126b,291,31.4
tt14_126b,291,28.6
tt14_126b,291,39.5
tt14_126b,291,26
tt14_126b,291,33.3
tt14_126b,291,81
tt14_126b,291,54.7
tt14_126b,291,16.6
tt14_126b,291,74.6
tt14_126b,291,13.2
tt14_126b,291,61.7
tt14_126b,291,10.1
tt14_126b,291,6.3
tt14_126b,291,32.7
tt14_126b,291,28.7
tt14_126b,291,54.2
tt14_126b,291,87.7
tt14_126b,291,24.9
tt14_126b,291,45.8
tt14_126b,291,12.6
tt14_126b,291,20.5
tt14_126b,291,16
tt14_126b,291,25
tt14_126b,291,28.8
tt14_126b,291,24.9
tt14_126b,291,16.3
tt14_126b,291,16.5
tt14_126b,291,16.2
tt14_126b,291,21.8
tt14_126b,291,105.5
tt14_126b,291,16.2
tt14_126b,291,40.8
tt14_126b,291,56.7
tt14_126b,291,41.4
tt14_126b,291,35
tt14_126b,291,21.9
tt14_126b,291,56.4
tt14_126b,291,15.5
tt14_126b,291,16.9
tt14_126b,291,0.1
tt14_126b,291,27.8
tt14_126b,291,37.4
tt14_126b,291,38.7
tt14_126b,291,24.3
tt14_126b,291,25.5
tt14_126b,291,30
tt14_126b,291,24.7
tt14_126b,291,22.6
tt14_126b,291,71
tt14_126b,291,36.1
tt14_126b,291,31.2
tt14_126b,291,76.9
tt14_126b,291,28.2
tt14_126b,291,15.6
tt14_126b,291,69.8
tt14_126b,291,9.3
tt14_126b,291,47.3
tt14_126b,291,10.6
tt14_126b,291,85.3
tt14_126b,291,19.8
tt14_126b,291,21.3
tt14_126b,291,35.1
tt14_126b,291,15.5
tt14_126b,291,25.6
tt14_126b,291,15.7
tt14_126b,291,16.4
tt14_126b,291,128.2
tt14_126b,291,12.5
tt14_126b,291,11.3
tt14_126b,291,118.5
tt14_126b,291,15.5
tt14_126b,291,16
tt14_126b,291,18.1
tt14_126b,291,14.7
tt14_126b,291,10.2
tt14_126b,291,27.2
tt14_126b,291,15.7
tt14_126b,291,16.7
tt14_126b,291,113.8
tt14_126b,291,39.6
tt14_126b,291,9.5
tt14_126b,291,9.2
tt14_126b,291,57.1
tt14_126b,291,13.2
tt14_126b,291,52
tt14_126b,291,16.6
tt14_126b,291,14.6
tt14_126b,291,44.2
tt14_126b,291,11.2
tt14_126b,291,12.7
tt14_126b,291,9
tt14_126b,291,11.6
tt14_126b,291,14.7
tt14_126b,291,9.6
tt14_126b,291,8.2
tt14_126b,291,30.6
tt14_126b,291,16.3
tt14_126b,291,32.3
tt14_126b,291,54.5
tt14_126b,291,5.4
tt14_126b,291,8.1
tt14_126b,291,7.5
tt14_126b,291,12.4
tt14_126b,291,9.4
tt14_126b,291,18.1
tt14_126b,291,9.9
tt14_126b,291,9.9
tt14_126b,291,12.8
tt14_126b,291,19.7
tt14_126b,291,58.1
tt14_126b,291,9.8
tt14_126b,291,15.1
tt14_126b,291,5.4
tt14_126b,291,25.3
tt14_126b,291,8.1
tt14_126b,291,56.3
tt14_126b,291,12.9
tt14_126b,291,11.6
tt14_126b,291,18.6
tt14_126b,291,44.5
tt14_126b,291,9.2
tt14_126b,291,72.3
tt14_126b,291,20.4
tt14_126b,291,47.6
tt14_126b,291,104.1
tt14_126b,291,13.6
tt14_126b,291,47.2
tt14_126b,291,9.6
tt14_126b,291,79.8
tt14_126b,291,11.3
tt14_126b,291,26.7
tt14_126b,291,78.5
tt14_126b,291,9.5
tt14_126b,291,8.6
tt14_126b,291,8.6
tt14_126b,291,14.6
tt14_126b,291,62.7
tt14_126b,291,12.5
tt14_126b,291,9.5
tt14_126b,291,17.7
tt14_126b,291,45.8
tt14_126b,291,8.6
tt14_126b,291,7.7
tt14_126b,291,9.5
tt14_126b,291,8.3
tt14_126b,291,12.9
tt14_126b,291,15.9
tt14_126b,291,8.3
tt14_126b,291,40.6
tt14_126b,291,7.8
tt14_126b,291,82.6
tt14_126b,291,18.4
tt14_126b,291,18
tt14_126b,291,33.4
tt14_126b,291,23.6
tt14_126b,291,23.2
tt14_126b,291,25.4
tt14_126b,291,27.4
tt14_126b,291,74
tt14_126b,291,12.8
tt14_126b,291,39.2
tt14_126b,291,11.5
tt14_126b,291,116
tt14_126b,291,14.3
tt14_126b,291,18
tt14_126b,291,13.5
tt14_126b,291,44.5
tt14_126b,291,5.8
tt14_126b,291,35
tt14_126b,291,5.6
tt14_126b,291,6.4
tt14_126b,291,5.5
tt14_126b,291,12.5
tt14_126b,291,12.8
tt14_126b,291,11.3
tt14_126b,291,34.4
tt14_126b,291,5.9
tt14_126b,291,10.8
tt14_126b,291,6.2
tt14_126b,291,10.6
tt14_126b,291,13.9
tt14_126b,291,15.4
tt14_126b,291,12.3
tt14_126b,291,13
tt14_126b,291,15.8
tt14_126b,291,12.6
tt14_126b,291,16.3
tt14_126b,291,17.2
tt14_126b,291,35.3
tt14_126b,291,21.8
tt14_126b,291,9.6
tt14_126b,291,70.3
tt14_126b,291,8.2
tt14_126b,291,82.3
tt14_126b,291,10
tt14_126b,291,47.8
tt14_126b,291,14
tt14_126b,291,13.8
tt14_126b,291,86.7
tt14_126b,291,47.9
tt14_126b,291,31.6
tt14_126b,291,8.3
tt14_126b,291,7.9
tt14_126b,291,69.1
tt14_126b,291,15.3
tt14_126b,291,38
tt14_126b,291,25.6
tt14_126b,291,38.2
tt14_126b,291,22
tt14_126b,291,10.2
tt14_126b,291,92.6
tt14_126b,291,13.2
tt14_126b,291,18.2
tt14_126b,291,11.9
tt14_126b,291,41.4
tt14_126b,291,17.7
tt14_126b,291,64.9
tt14_126b,291,11.9
tt14_126b,291,6.7
tt14_126b,291,8
tt14_126b,291,6
tt14_126b,291,18.5
tt14_126b,291,8.1
tt14_126b,291,11.8
tt14_126b,291,17
tt14_126b,291,14.9
tt14_126b,291,10.7
tt14_126b,291,7.4
tt14_126b,291,41.8
tt14_126b,291,27.9
tt14_126b,291,20.4
tt14_126b,291,7.8
tt14_126b,291,6.7
tt14_126b,291,8.9
tt14_126b,291,10.5
tt14_126b,291,9.8
tt14_126b,291,25.7
tt14_126b,291,8.1
tt14_126b,291,9.4
tt14_126b,291,9.3
tt14_126b,291,9.6
tt14_126b,291,13
tt14_126b,291,31.7
tt14_126b,291,10.2
tt14_126b,291,11.7
tt14_126b,291,11.1
tt14_126b,291,11.9
tt14_126b,291,14
tt14_126b,291,15.3
tt14_126b,291,11.4
tt14_126b,291,64.5
tt14_126b,291,10.6
tt14_126b,291,46.5
tt14_126b,291,21.8
tt14_126b,291,27.8
tt14_126b,291,23
tt14_126b,291,12.6
tt14_126b,291,21.4
tt14_126b,291,27
tt14_126b,291,20.4
tt14_126b,291,16.7
tt14_126b,291,11.3
tt14_126b,291,11.3
tt14_126b,291,6.1
tt14_126b,291,16.5
tt14_126b,291,4.7
tt14_126b,291,4.4
tt14_126b,291,17.1
tt14_126b,291,10.9
tt14_126b,291,11.7
tt14_126b,291,15
tt14_126b,291,13.8
tt14_126b,291,22.3
