Group,Species,Latin_Name,M,f,T,Reference,Marine,Ruminant,Aquatic Bird,Terrestrial Bird
Carnivora,Lion,Panthera_leo,145,17,,Mortola and Lanthier 2005,0,0,0,0
Carnivora,Lesser Panda,Ailurus_fulgens,5.2,32,,Mortola and Lanthier 2005,0,0,0,0
Carnivora,Snow Leopard,Panthera_uncia,27,13,,Mortola and Lanthier 2005,0,0,0,0
Carnivora,Thibetan Bear,Ursus_thibetanus,85,36,,Mortola and Lanthier 2005,0,0,0,0
Carnivora,"Dog, domestic",Canis_lupus,39,21,,Mortola and Lanthier 2005,0,0,0,0
Carnivora,Puma,Puma_concolor,77,38,,Mortola and Lanthier 2005,0,0,0,0
Carnivora,Brown bear grizzly,Ursus_arctos,274,15,,Mortola and Lanthier 2005,0,0,0,0
Carnivora,Genett,Genetta_genetta,2.3,28,,Mortola and Lanthier 2005,0,0,0,0
Carnivora,Coatimundis,Nasua_nasua,4.9,28,,Mortola and Lanthier 2005,0,0,0,0
Carnivora,"Civet, african",Civettictis_civetta,2,36,,Mortola and Lanthier 2005,0,0,0,0
Carnivora,"Ferret, domestic",Mustela_putorius,1.2,37,,Mortola and Lanthier 2005,0,0,0,0
Carnivora,Kinkajou,Potos_flavus,3.1,21,,Mortola and Lanthier 2005,0,0,0,0
Carnivora,Arctic Fox,Alopex_lagopus,3.8,63,,Mortola and Lanthier 2005,0,0,0,0
Carnivora,"Cat, domestic",Felis_catus,5,18,,Mortola and Lanthier 2005,0,0,0,0
Chiroptera,"Ryukyu, Flying fox",Pteropus_dasymallus,0.4,56,,Mortola and Lanthier 2005,0,0,0,0
Perissodactyla,"Horse, domesticus",Equus_caballus,620,12,,Mortola and Lanthier 2005,0,0,0,0
Perissodactyla,"Zebra, Burchell's",Equus_burchellii,278,15,,Mortola and Lanthier 2005,0,0,0,0
Perissodactyla,Donkey,Equus_asinus,205,23,,Mortola and Lanthier 2005,0,0,0,0
Perissodactyla,Onager,Equus_hemionus,235,23,,Mortola and Lanthier 2005,0,0,0,0
Perissodactyla,Rhinoceros,Ceratotherium_simum,2091,11,,Mortola and Lanthier 2005,0,0,0,0
Primates,Mandrill,Mandrillus_sphinx,26,17,,Mortola and Lanthier 2005,0,0,0,0
Primates,Gorilla,Gorilla_gorilla,217,17,,Mortola and Lanthier 2005,0,0,0,0
Primates,Colobus,Colobus_guereza,12,15,,Mortola and Lanthier 2005,0,0,0,0
Proboscidea,"Elephant, African",Loxodonta_africana,2611,5,,Mortola and Lanthier 2005,0,0,0,0
Proboscidea,"Elephant, Asian",Elephas_maximus,4550,7,,Mortola and Lanthier 2005,0,0,0,0
Rodentia,Rat,Rattus_norvegicus,0.3,119,,Mortola and Lanthier 2005,0,0,0,0
Rodentia,Guinea pig,Cavia_porcellus,0.7,95,,Mortola and Lanthier 2005,0,0,0,0
Rodentia,Golden hamster,Mesocricetus_auratus,0.1,56,,Mortola and Lanthier 2005,0,0,0,0
Rodentia,Deer Mouse,Peromyscus_maniculatus,0.02,181,,Mortola and Lanthier 2005,0,0,0,0
Rodentia,"Mouse, house",Mus_musculus,0.03,165,,Mortola and Lanthier 2005,0,0,0,0
Rodentia,Hopping mouse,Notomys_alexis,0.03,169,,Mortola and Lanthier 2005,0,0,0,0
Rodentia,Jird,Meriones_unguiculatus,0.05,146,,Mortola and Lanthier 2005,0,0,0,0
Rodentia,Woodchuck,Marmota_monax,3.8,67,,Mortola and Lanthier 2005,0,0,0,0
Rodentia,Porcupine,Erethizon_dorsatum,8.9,50,,Mortola and Lanthier 2005,0,0,0,0
Xenarthra,Armadillo,Dasypus_novemcinctus,2.3,45,,Mortola and Lanthier 2005,0,0,0,0
Anseriformes,"Duck, black",Anas_rubripes,1.026,27.2,21,"Berger, Hart and Roy (1970) in Mortola and Seguin 2009",0,0,1,0
Anseriformes,"Duck, eider",Somateria_mollissima,2.117,18.1,21,Mortola and Seguin 2009,0,0,1,0
Anseriformes,"Duck, muscovy",Cairina_moschata,2.16,10.5,,Jones and Holeton (1972) in Mortola and Seguin 2009,0,0,1,0
Anseriformes,"Goose, barheaded",Anser_indicus,2.6,9.3,14,Mortola and Seguin 2009,0,0,1,0
Anseriformes,"Goose, Canada",Branta_canadensis,3.233,6.7,14,Mortola and Seguin 2009,0,0,1,0
Anseriformes,"Goose, domestic",Anser_domesticus,4.9,14,,"Scheid, Fedde and Piper (1989) in Mortola and Seguin 2009",0,0,1,0
Anseriformes,"Goose, snow",Anser_caerulescens,2.631,7.5,14,Mortola and Seguin 2009,0,0,1,0
Anseriformes,"Goose, wild",Anser_anser,3.425,7.6,24,Calder (1968),0,0,1,0
Anseriformes,Mallard,Anas_platyrhynchos,2.438,14,22,Frappell et al. 2001,0,0,1,0
Anseriformes,"Scaup, greater",Aythya_marila,9.45,21.7,28,Mortola and Seguin 2009,0,0,1,0
Anseriformes,"Screamer, crested (Southern)",Chauna_torquata,4.8,4.8,29,Mortola and Seguin 2009,0,0,1,0
Anseriformes,"Swan, black",Cygnus_atratus,5.65,3.1,22,Mortola and Seguin 2009,0,0,1,0
Anseriformes,"Swan, black-necked",Cygnus_melanocoryphus,4.7,5.8,23,Mortola and Seguin 2009,0,0,1,0
Anseriformes,"Swan, mute",Cygnus_olor,10.735,2.9,22,Mortola and Seguin 2009,0,0,1,0
Anseriformes,"Swan, trumpeter",Cygnus_buccinator,18.85,3.4,20,Mortola and Seguin 2009,0,0,1,0
Charadriiformes,"Gull, herring",Larus_argentatus,0.93,19,24,Calder (1968) in Mortola and Seguin 2009,0,0,1,0
Charadriiformes,"Gull, kelp",Larus_dominicanus,0.98,19.1,29,"Morgan, Chappell and Bucher (1992) in Mortola and Seguin 2009",0,0,1,0
Charadriiformes,"Mure, common",Uria_aalge,0.993,18.7,11,Mortola and Seguin 2009,0,0,1,0
Charadriiformes,"Puffin, Atlantic",Fratercula_arctica,0.381,14.3,11,Mortola and Seguin 2009,0,0,1,0
Charadriiformes,Razorbill,Alca_torda,0.719,14.4,11,Mortola and Seguin 2009,0,0,1,0
Gaviiformes,"Loon, common",Gavia_immer,2.123,6.8,24,Calder (1968) in Mortola and Seguin 2009,0,0,1,0
Gruiformes,"Coot, Euro",Fulica_atra,0.398,20,10,Brent et al. 1984 in Mortola and Seguin 2009,0,0,1,0
Pelecaniformes,"Cormorant, Double crested",Phalacrocorax_auritus,1.34,15,,"Bartholomew, Lasiewski and Crawford Jr (1968)",0,0,1,0
Pelecaniformes,"Pelican, brown",Pelecanus_occidentalis,3.438,6.2,29,Mortola and Seguin 2009,0,0,1,0
Pelecaniformes,"Pelican, white",Pelecanus_erythrorynchos,7,5.5,27,Mortola and Seguin 2009,0,0,1,0
Sphenisciformes,"Penguin, Adelie",Pygoscelis_adeliae,4.85,7.3,3,Mortola and Seguin 2009,0,0,1,0
Sphenisciformes,"Penguin, emperor",Aptenodytes_forsteri,34,2.3,3,Mortola and Seguin 2009,0,0,1,0
Sphenisciformes,"Penguin, gentoo",Pygoscelis_papua,5.95,5.1,4,Mortola and Seguin 2009,0,0,1,0
Sphenisciformes,"Penguin, king",Aptenodytes_patagonicus,13.22,3.5,4,Mortola and Seguin 2009,0,0,1,0
Sphenisciformes,"Penguin, little",Eudyptula_minor,0.987,8.6,20,Frappell et al. 2001 in Mortola and Seguin 2009,0,0,1,0
Sphenisciformes,"Penguin, magellan",Spheniscus_magellanicus,4.5,4.6,15,Mortola and Seguin 2009,0,0,1,0
Sphenisciformes,"Penguin, nakaroni",Eudyptes_chrysolophus,3.9,4.9,4,Mortola and Seguin 2009,0,0,1,0
Sphenisciformes,"Penguin, rockhopper",Eudyptes_chrysocome,2.5,4.5,4,Mortola and Seguin 2009,0,0,1,0
Caprimulgiformes,"Frogmouth, tawny",Podargus_strigoides,0.675,20,21,Lasiewski and Bartholomew (1966),0,0,0,1
Casuariiformes,Cassowary,Casuarius_casuarius,44,7.5,22,Mortola and Seguin 2009,0,0,0,1
Casuariiformes,Emu,Dromaius_novaehollandiae,31.16,5.4,12,Mortola and Seguin 2009,0,0,0,1
Ciconiiformes,"Falcon, prairie",Falco_mexicanus,0.587,14.2,20,Kaiser and Bucher (1985) in Mortola and Seguin 2009,0,0,0,1
Ciconiiformes,"Petrel, giant",Macronectes_giganteus,3.929,20.8,20,Morgan et al (1992),0,0,0,1
Ciconiiformes,"Skua, south polar",Catharacta_maccormicki,1.249,11,20,Morgan et al (1992),0,0,0,1
Ciconiiformes,"Heron, black-crowned",Nycticorax_nycticorax,0.883,12.6,32,Mortola and Seguin 2009,0,0,0,1
Ciconiiformes,"Ibis, white",Eudocimus_albus,0.9,12.3,21,Mortola and Seguin 2009,0,0,0,1
Ciconiiformes,Marabou,Leptoptilus_crumeniferus,6.325,6.2,19,Mortola and Seguin 2009,0,0,0,1
Ciconiiformes,"Spoonbill, roseate",Ajaia_ajaia,1.518,6.1,21,Mortola and Seguin 2009,0,0,0,1
Columbiformes,"Pigeon, Victoria-crowned",Goura_victoria,2.25,10.9,27,Mortola and Seguin 2009,0,0,0,1
Coraciiformes,"Hornbill, ground southern",Bucorvus_leadbeateri,4.7,7.4,20,Mortola and Seguin 2009,0,0,0,1
Coraciiformes,Kookaburra,Dacelo_novaguineae,0.305,12.2,26,Mortola and Seguin 2009,0,0,0,1
Falconiformes,"Buzzard, common",Buteo_buteo,0.658,18,24,Calder (1968) in Mortola and Seguin 2009,0,0,0,1
Falconiformes,"Vulture, turkey",Cathartes_aura,2,9.2,24,Calder (1968) in Mortola and Seguin 2009,0,0,0,1
Falconiformes,"Condor, Andean",Vultur_gryphus,11.3,6.5,23,Mortola and Seguin 2009,0,0,0,1
Falconiformes,"Eagle, bald",Haliaeeus_leucocephalus,4.74,10.4,28,Mortola and Seguin 2009,0,0,0,1
Falconiformes,"Eagle, golden",Aquila_chrysaetos,4.195,7.6,26,Mortola and Seguin 2009,0,0,0,1
Falconiformes,"Hawk, red-tailed",Buteo_jamaicensis,1.126,16.4,24,Mortola and Seguin 2009,0,0,0,1
Falconiformes,"Vulture, Ruppell's",Gyps_rueppellii,7.4,6.2,29,Mortola and Seguin 2009,0,0,0,1
Falconiformes,"Eagle, steller's sea",Haliaeetus_pelagicus,7.757,6.4,,Mortola and Seguin 2009,0,0,0,1
Galliformes,chukar partridge,Alectoris_chukar,0.475,23.3,30,Chappell and Bucher (1987),0,0,0,1
Galliformes,"Fowl, domestic",Gallus_gallus,1.6,22.5,20,"Kassim and Sykes (1982), Gleeson (1985)",0,0,0,1
Galliformes,Pheasant,Phasanus_colchicus,1.133,8.4,22,Boggs and Birchard (1983),0,0,0,1
Gruiformes,"Crane, Demoiselle",Anthropoides_virgo,2.2,24.8,24,Prange et al (1985),0,0,0,1
,"Crane, common",Grus_grus,4.55,9.3,24,Prange et al (1985),0,0,0,1
,"Crane, grey crowned",Balearica_regulorum,2.772,8.4,27,Mortola and Seguin 2009,0,0,0,1
,"Crane, manchurian",Grus_japonensis,8.786,9.1,27,Mortola and Seguin 2009,0,0,0,1
,"Seriema, red-legged",Cariama_cristata,1.4,8.5,25,Mortola and Seguin 2009,0,0,0,1
Passeriformes,"Raven, white-necked",Corvus_cryptoleucus,0.48,32.5,22,Hudson and Bernstein (1981),0,0,0,1
Pnoenicopteriformes,"Flamingo, Carribean",Phoenicopterus_ruber,3,7.6,27,Mortola and Seguin 2009,0,0,0,1
Psittaciformes,"Cockatoo, salmon-crested",Cacatua_moluccensis,1,10.9,24,Mortola and Seguin 2009,0,0,0,1
,"Macaw, blue and gold",Ara_ararauna,1.125,10.5,25,Mortola and Seguin 2009,0,0,0,1
,"Macaw, red and green",Ara_chloroptera,1.25,13.1,25,Mortola and Seguin 2009,0,0,0,1
Strigiformes,"Owl, common barn",Tyto_alba,0.448,11.5,20,Souza (1988) in Mortola and Seguin 2009,0,0,0,1
,"Owl, barred",Strix_varia,0.717,24.9,30,Mortola and Seguin 2009,0,0,0,1
,"Owl, Eurasian eagle",Bubo_bubo,2.686,11.1,14,Mortola and Seguin 2009,0,0,0,1
,"Owl, great horned",Bubo_virginianus,1.449,8.4,24,Mortola and Seguin 2009,0,0,0,1
,"Owl, snowy",2.042,2.042,9.2,14,Mortola and Seguin 2009,0,0,0,1
Struthioniformes,Rhea,Rhea_americana,21.7,8.5,26,Crafword Jr and Laiewski (1968),0,0,0,1
,Ostrich,Struthio_camelus,83.5,2.9,18,Mortola and Seguin 2009,0,0,0,1
